Quote,Author
"We are what we repeatedly do. Excellence, then, is not an act but a habit.",Will Durant (inspired by Aristotle)
"Success is the sum of small efforts, repeated day in and day out.",Robert Collier
It's not what we do once in a while that shapes our lives. It's what we do consistently.,Tony Robbins
"First we make our habits, then our habits make us.",John Dryden
Chains of habit are too weak to be felt until they are too strong to be broken.,Samuel Johnson
"Motivation gets you going, but discipline keeps you growing.",John C. Maxwell
Discipline is the bridge between goals and accomplishment.,Jim Rohn
The secret of your future is hidden in your daily routine.,Mike Murdock
Small disciplines repeated with consistency every day lead to great achievements.,John C. Maxwell
A year from now you may wish you had started today.,Karen Lamb
Do not wait to strike till the iron is hot; make it hot by striking.,W.B. Yeats
"Little by little, a little becomes a lot.",Tanzanian Proverb
Well done is better than well said.,Benjamin Franklin
Action is the foundational key to all success.,Pablo Picasso
The journey of a thousand miles begins with one step.,Lao Tzu
"What we think, we become.",Buddha
The future depends on what you do today.,Mahatma Gandhi
Dream big and dare to fail.,Norman Vaughan
"Quality is not an act, it is a habit.",Aristotle (attributed)
Never confuse motion with action.,Benjamin Franklin
You miss 100% of the shots you don't take.,Wayne Gretzky
Done is better than perfect.,Sheryl Sandberg
The best way out is always through.,Robert Frost
Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau
Opportunities don't happen. You create them.,Chris Grosser
"The harder I work, the luckier I get.",Samuel Goldwyn
Don't watch the clock; do what it does. Keep going.,Sam Levenson
Fall seven times and stand up eight.,Japanese Proverb
Great things are done by a series of small things brought together.,Vincent van Gogh
Perseverance is not a long race; it is many short races one after another.,Walter Elliot
Energy and persistence conquer all things.,Benjamin Franklin
Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill
"If you're going through hell, keep going.",Winston Churchill
The only way to do great work is to love what you do.,Steve Jobs
"Stay hungry, stay foolish.",Steve Jobs
Focus is saying no to a hundred good ideas.,Steve Jobs
Simplicity is the ultimate sophistication.,Leonardo da Vinci
He who has a why to live can bear almost any how.,Friedrich Nietzsche
The man who moves a mountain begins by carrying away small stones.,Confucius
An ounce of practice is worth more than tons of preaching.,Mahatma Gandhi
"Knowledge speaks, but wisdom listens.",Jimi Hendrix
The expert in anything was once a beginner.,Helen Hayes
Start where you are. Use what you have. Do what you can.,Arthur Ashe
What gets measured gets managed.,Peter Drucker
Efficiency is doing things right; effectiveness is doing the right things.,Peter Drucker
Amateurs sit and wait for inspiration; the rest of us just get up and go to work.,Stephen King
"Courage is resistance to fear, mastery of fear—not absence of fear.",Mark Twain
The way to get started is to quit talking and begin doing.,Walt Disney
"If you can dream it, you can do it.",Walt Disney
"Whether you think you can or you think you can't, you're right.",Henry Ford
Obstacles are those frightful things you see when you take your eyes off your goal.,Henry Ford
The only limit to our realization of tomorrow is our doubts of today.,Franklin D. Roosevelt
Believe you can and you're halfway there.,Theodore Roosevelt
"Do what you can, with what you have, where you are.",Theodore Roosevelt
It always seems impossible until it's done.,Nelson Mandela
Education is the most powerful weapon which you can use to change the world.,Nelson Mandela
I never lose. I either win or learn.,Nelson Mandela
Luck is what happens when preparation meets opportunity.,Seneca
"Difficulties strengthen the mind, as labor does the body.",Seneca
Waste no more time arguing what a good man should be. Be one.,Marcus Aurelius
You have power over your mind—not outside events.,Marcus Aurelius
The happiness of your life depends upon the quality of your thoughts.,Marcus Aurelius
No man ever steps in the same river twice.,Heraclitus
What you do today can improve all your tomorrows.,Ralph Marston
Act as if what you do makes a difference. It does.,William James
Success is getting what you want. Happiness is wanting what you get.,Dale Carnegie
Develop success from failures.,Dale Carnegie
"The successful warrior is the average man, with laser-like focus.",Bruce Lee
"Knowing is not enough, we must apply.",Johann Wolfgang von Goethe
Everything you've ever wanted is on the other side of fear.,George Addair
The price of greatness is responsibility.,Winston Churchill
"Work hard in silence, let success make the noise.",Frank Ocean (attributed)
Consistency is harder when no one is clapping for you.,Unknown
Discipline equals freedom.,Jocko Willink
The magic you're looking for is in the work you're avoiding.,Dipen Parmar
You do not rise to the level of your goals. You fall to the level of your systems.,James Clear
Every action you take is a vote for the person you wish to become.,James Clear
Be faithful in small things because it is in them that your strength lies.,Mother Teresa
Nothing will work unless you do.,Maya Angelou
"If opportunity doesn't knock, build a door.",Milton Berle
A goal without a plan is just a wish.,Antoine de Saint-Exupéry
Either you run the day or the day runs you.,Jim Rohn
Take care of your body. It's the only place you have to live.,Jim Rohn
Success leaves clues.,Tony Robbins
"Where focus goes, energy flows.",Tony Robbins
The difference between ordinary and extraordinary is that little extra.,Jimmy Johnson
Continuous improvement is better than delayed perfection.,Mark Twain
"Hard choices, easy life. Easy choices, hard life.",Jerzy Gregorek
The pain of discipline weighs ounces; the pain of regret weighs tons.,Jim Rohn
What is not started today is never finished tomorrow.,Goethe
Great acts are made up of small deeds.,Lao Tzu
One day or day one. You decide.,Unknown
Your habits will determine your future.,Jack Canfield
Success is nothing more than a few simple disciplines practiced every day.,Jim Rohn
The best preparation for tomorrow is doing your best today.,H. Jackson Brown Jr.
"Never, never, never give up.",Winston Churchill
The only place where success comes before work is in the dictionary.,Vidal Sassoon
Keep your face always toward the sunshine.,Walt Whitman
